Nombre,Cierre,Máximo,Mínimo,Var.,Var %,Vol.,Hora
3M,131.19,131.46,130.06,+2.28,+1.76%,1.10M,12:12:36
American Express,146.78,147.06,144.50,+4.45,+3.12%,1.40M,12:12:36
Amgen,246.91,247.60,245.04,+3.07,+1.26%,910.62K,12:12:24
Apple,150.00,150.22,146.91,+2.94,+2.00%,42.84M,12:12:51
Boeing,155.33,155.99,149.10,+7.61,+5.15%,8.68M,12:12:47
Caterpillar,177.96,178.10,172.88,+5.67,+3.29%,1.02M,12:12:45
Chevron,143.07,143.27,139.42,+3.50,+2.50%,3.40M,12:12:52
Cisco,43.79,43.97,42.65,+1.19,+2.79%,8.56M,12:12:54
Coca-Cola,62.47,62.48,61.92,+0.81,+1.32%,4.20M,12:12:53
Dow,52.70,52.81,51.10,+2.23,+4.42%,2.57M,12:12:51
Goldman Sachs,317.07,317.35,303.50,+15.81,+5.25%,3.27M,12:12:53
Home Depot,297.49,298.33,293.31,+4.44,+1.52%,917.75K,12:12:52
Honeywell,175.82,176.10,172.78,+4.87,+2.85%,820.09K,12:12:52
IBM,129.24,132.56,127.72,-8.89,-6.44%,18.55M,12:12:54
Intel,40.48,40.49,39.24,+1.77,+4.59%,20.21M,12:12:57
J&J,171.56,176.75,171.48,-2.67,-1.53%,4.49M,12:12:54
JPMorgan,114.13,114.53,112.67,+2.34,+2.09%,5.01M,12:12:56
McDonald’s,254.81,254.83,252.97,+2.40,+0.95%,782.46K,12:12:59
Merck&Co,92.48,93.40,92.37,+0.14,+0.15%,3.11M,12:12:59
Microsoft,257.74,258.06,253.69,+3.49,+1.37%,10.31M,12:12:54
Nike,108.84,109.07,105.50,+4.90,+4.71%,4.35M,12:12:41
Procter&Gamble,144.03,145.01,143.65,+0.72,+0.50%,2.17M,12:12:53
Salesforce.com,172.56,172.79,167.81,+4.67,+2.78%,1.79M,12:12:59
The Travelers,157.97,158.56,155.82,+2.98,+1.92%,376.58K,12:12:52
UnitedHealth,528.62,529.42,520.59,+9.25,+1.78%,1.15M,12:12:29
Verizon,50.38,50.56,50.24,+0.10,+0.21%,6.32M,12:12:58
Visa A,212.46,212.81,207.90,+5.25,+2.53%,2.21M,12:13:01
Walgreens Boots,38.56,39.03,38.55,+0.24,+0.63%,2.29M,12:13:02
Walmart,129.72,129.96,128.61,+0.95,+0.74%,1.90M,12:12:37
Walt Disney,98.49,98.81,96.68,+2.79,+2.92%,5.45M,12:13:00
